Boruc | is | Polish
He | was chosen | start in defensive midfield position in second leg of their UEFA Europa League clash with Rubin Kazan on 11 April
He | start in | defensive position for Chelsea in leg of their UEFA Europa League clash in Russia
He | was chosen | start in position for Chelsea in leg of their UEFA Europa League quarter-final clash with Rubin Kazan on 11 April
He | start in | midfield position for Chelsea in leg of their UEFA Europa League clash on 11 April
He | start in | position in second leg of their UEFA Europa League quarter-final clash in Russia
He | was chosen | start in position in second leg of their UEFA Europa League quarter-final clash on 11 April
He | start in | midfield position for Chelsea in second leg of their UEFA Europa League clash with Rubin Kazan
He | was chosen | start in midfield position for Chelsea in second leg of their UEFA Europa League quarter-final clash on 11 April
He | start in | defensive midfield position in second leg of their UEFA Europa League clash with Rubin Kazan in Russia
He | start in | midfield position for Chelsea in second leg of their UEFA Europa League clash in Russia on 11 April
He | start in | defensive position for Chelsea in leg of their UEFA Europa League clash on 11 April
He | start in | position in leg of their UEFA Europa League quarter-final clash with Rubin Kazan in Russia
He | start in | midfield position for Chelsea in second leg
He | start in | midfield position for Chelsea in leg of their UEFA Europa League quarter-final clash with Rubin Kazan on 11 April
He | was chosen | start in defensive midfield position for Chelsea
He | was chosen | start in defensive midfield position in second leg of their UEFA Europa League clash
He | start in | midfield position for Chelsea in second leg of their UEFA Europa League clash in Russia
He | was chosen | start in midfield position for Chelsea in leg of their UEFA Europa League quarter-final clash with Rubin Kazan
He | start in | position for Chelsea in second leg of their UEFA Europa League clash with Rubin Kazan in Russia
He | was chosen | start in defensive midfield position for Chelsea in leg of their UEFA Europa League quarter-final clash in Russia on 11 April
He | was chosen | start in defensive midfield position in second leg of their UEFA Europa League quarter-final clash with Rubin Kazan on 11 April
He | was chosen | start in midfield position in second leg of their UEFA Europa League quarter-final clash on 11 April
He | was chosen | start in defensive position for Chelsea in leg of their UEFA Europa League quarter-final clash with Rubin Kazan in Russia
He | start in | midfield position in leg of their UEFA Europa League clash in Russia
He | was chosen | start in defensive position for Chelsea in second leg of their UEFA Europa League quarter-final clash with Rubin Kazan
He | start in | midfield position for Chelsea in leg of their UEFA Europa League quarter-final clash with Rubin Kazan in Russia
He | start in | defensive position in leg of their UEFA Europa League clash with Rubin Kazan on 11 April
He | was chosen | start in defensive midfield position for Chelsea in second leg of their UEFA Europa League clash with Rubin Kazan in Russia on 11 April
He | was chosen | start in midfield position in leg of their UEFA Europa League clash in Russia on 11 April
He | start in | defensive position in second leg of their UEFA Europa League quarter-final clash on 11 April
He | was chosen | start in midfield position in second leg of their UEFA Europa League quarter-final clash in Russia
He | start in | defensive midfield position in second leg
He | start in | defensive midfield position in leg of their UEFA Europa League clash with Rubin Kazan in Russia on 11 April
He | start in | position in second leg of their UEFA Europa League clash on 11 April
He | was chosen | start in defensive position in leg of their UEFA Europa League quarter-final clash with Rubin Kazan in Russia
He | start in | defensive midfield position for Chelsea in leg of their UEFA Europa League quarter-final clash with Rubin Kazan in Russia on 11 April
He | start in | position in leg of their UEFA Europa League clash with Rubin Kazan on 11 April
He | start in | position in leg of their UEFA Europa League quarter-final clash with Rubin Kazan in Russia on 11 April
He | start in | defensive midfield position for Chelsea in leg of their UEFA Europa League clash in Russia
He | start in | position in second leg of their UEFA Europa League clash in Russia on 11 April
He | start in | defensive position in leg of their UEFA Europa League quarter-final clash in Russia
He | start in | midfield position for Chelsea in second leg of their UEFA Europa League quarter-final clash with Rubin Kazan on 11 April
He | was chosen | start in defensive position for Chelsea in leg of their UEFA Europa League clash with Rubin Kazan in Russia
He | start in | defensive midfield position for Chelsea in second leg of their UEFA Europa League quarter-final clash
He | was chosen | start in midfield position in leg of their UEFA Europa League clash in Russia
Aké | was | unused substitute
Aké | was | substitute
Aké | was unused substitute for | Chelsea in Europa League
Aké | was substitute at | Amsterdam Arena
Aké | was substitute for | Chelsea in Europa League
Aké | was | unused substitute for Chelsea at Amsterdam Arena
Chelsea | is in | Europa League final against Benfica
Aké | was | unused substitute for Chelsea in Europa League at Amsterdam Arena
Aké | was | substitute for Chelsea at Amsterdam Arena
Aké | was substitute for | Chelsea in Europa League final against Benfica
Aké | was unused substitute at | Amsterdam Arena
Aké | was | unused substitute for Chelsea in Europa League final against Benfica at Amsterdam Arena
Aké | was substitute for | Chelsea
Aké | was substitute for | Chelsea in Europa League final
Aké | was unused substitute for | Chelsea in Europa League final against Benfica
Aké | was | substitute for Chelsea in Europa League final against Benfica at Amsterdam Arena
Aké | was unused substitute for | Chelsea
Aké | was | substitute for Chelsea in Europa League final at Amsterdam Arena
Aké | was | unused
Aké | was | substitute for Chelsea in Europa League at Amsterdam Arena
Aké | was | unused substitute for Chelsea in Europa League final at Amsterdam Arena
Aké | was unused substitute for | Chelsea in Europa League final
his Premier League | start in | 2
1 | win on | last matchday of season
He | was | voted
1 | win on | matchday
1 | win on | last matchday
1 | win at | Stamford Bridge
his first Premier League | start in | 2
Chelsea | has | Young Player of Year on 16 May
his Premier League | start later in | 2
1 | win against | Everton
He | was voted | Chelsea 's Young Player
He | was voted | Chelsea 's Young Player on 16 May
1 | win on | matchday of season
his first Premier League | start later in | 2
Aké | signed | new five-year contract
Aké | signed | new contract
Aké | signed | new five-year contract with Chelsea
Aké | signed contract On | 8 August 2013
Aké | signed | new contract with Chelsea
Aké | signed | contract
new five-year contract | is with | Chelsea
Aké | lasting until | 2018
Aké | signed | contract with Chelsea
Aké | signed | five-year contract with Chelsea
Aké | signed | five-year contract
Eden Hazard | for | second goal
home | provided | assist
match | is in | 60th minute
his UEFA Champions League debut | coming into | match
his UEFA Champions League debut | coming into | match for Cesc Fàbregas in minute
his UEFA Champions League debut | coming during | a
his UEFA Champions League debut | coming into | match for Cesc Fàbregas
0 home | provided | assist for Eden Hazard 's goal
his UEFA Champions League debut | coming into | match in minute
Aké | made | his UEFA Champions League debut
0 home | provided | assist for Eden Hazard 's second goal
home | provided | assist for Eden Hazard 's goal
his UEFA Champions League debut | coming into | match for Cesc Fàbregas in 60th minute
0 home | provided | assist
provided | assist for | Eden Hazard 's goal
provided | assist for | Eden Hazard 's second goal
his UEFA Champions League debut | coming into | match in 60th minute
home | provided | assist for Eden Hazard 's second goal
Aké | making | his first
Aké | was loaned to | Championship club
Aké | making | his first of five appearances against Cardiff City
Aké | was loaned | Reading for one month
Aké | was loaned On | 25 March 2015
Aké | was | On 25 March 2015 loaned to Championship club
Aké | was | loaned
Aké | Reading for | one month
Aké | was loaned | Reading
Aké | making | his first of five appearances
substitute | is in | 3 0 loss at West Bromwich Albion on 18 May
winner | has | medal for contribution to team
he | only made | one league appearance for Chelsea
he | made | one league appearance
he | only made | one league appearance
he | made | one league appearance for Chelsea
Aké | completed | season-long loan move to promoted Premier League side Watford
Aké | signed | new contract
Aké | signed | new five-year contract with Chelsea
Aké | signed | new contract with Chelsea
Aké | completed | loan move to promoted Premier League side Watford
Aké | signed | contract
new five-year contract | is with | Chelsea
Aké | completed | season-long loan move to Premier League side Watford
Aké | signed | contract with Chelsea
Aké | completed loan move On | 14 August 2015
Aké | signed | five-year contract
Aké | signed | new five-year contract
Aké | completed | loan move
Aké | completed | loan move to newly promoted Premier League side Watford
Aké | completed | season-long loan move
Aké | signed | five-year contract with Chelsea
Aké | completed | season-long loan move to newly promoted Premier League side Watford
Aké | completed | loan move to Premier League side Watford
he | made | his debut
Hornets | is in | League Cup second round match against Preston North End
he | later made | his debut
0 | win at | Vicarage Road
He | scored | his senior goal
He | scored | his goal
He | scored | his first senior goal
0 | win over | Liverpool
0 | win in | minute
goalkeeper Ádám Bogdán | dropped | corner kick
0 | win in | fourth minute
He | scored | his first goal
manager Quique Sánchez Flores | deployed Aké During | his time with Hornets
manager Quique Sánchez Flores | primarily deployed | Aké
manager Quique Sánchez Flores | deployed Aké During | his time
manager Quique Sánchez Flores | deployed | Aké
his time | is with | Hornets
manager Quique Sánchez Flores | primarily deployed Aké During | his time with Hornets
manager Quique Sánchez Flores | primarily deployed Aké During | his time
Watford | has | Young Player of Season award
he | made | his Bournemouth debut
teammate Harry Arter | following | dismissal after challenge on Cheikhou Kouyaté
Aké | made | his debut in second round
Aké | made | his full debut
Aké | made | his debut against Morecambe in round on 24 August
Aké | made | his debut against Morecambe in round of EFL Cup
Aké | made | his full debut in round on 24 August
Aké | made | his full debut against Morecambe on 24 August
Aké | made | his debut against Morecambe in second round on 24 August
Aké | made | his debut in round of EFL Cup
Aké | made | his full debut in second round
Aké | made | his debut in round of EFL Cup on 24 August
Aké | Following | defeat to West Ham
Aké | made | his debut in second round of EFL Cup on 24 August
Aké | made | his full debut in second round of EFL Cup
Aké | made | his full debut against Morecambe in round of EFL Cup on 24 August
Aké | made | his full debut on 24 August
Aké | made | his full debut against Morecambe in second round of EFL Cup on 24 August
Aké | made | his debut in second round on 24 August
Aké | made | his debut against Morecambe on 24 August
Aké | made | his debut in round
Aké | made | his debut against Morecambe in second round
his full debut | is in | second round of EFL Cup
Following | defeat to | West Ham
Aké | made | his debut on 24 August
Aké | made | his full debut in second round on 24 August
Aké | made | his full debut in round
Aké | made | his full debut against Morecambe in second round on 24 August
Aké | made | his debut against Morecambe
Aké | made | his full debut against Morecambe in round on 24 August
Aké | made | his debut against Morecambe in round of EFL Cup on 24 August
Aké | made | his full debut in round of EFL Cup on 24 August
Aké | made | his full debut in round of EFL Cup
Aké | made | his debut
Aké | made | his full debut in second round of EFL Cup on 24 August
Aké | Following | defeat
Aké | made | his full debut against Morecambe in round of EFL Cup
Aké | made | his debut against Morecambe in second round of EFL Cup
Aké | made | his debut against Morecambe in second round of EFL Cup on 24 August
Aké | made | his full debut against Morecambe in round
Aké | made | his debut in round on 24 August
Aké | made | his full debut against Morecambe
Aké | made | his full debut against Morecambe in second round
Aké | made | his debut against Morecambe in round
Aké | made | his full debut against Morecambe in second round of EFL Cup
Aké | made | his debut in second round of EFL Cup
Aké | scored | his goal
Aké | scored | his first goal for Bournemouth
Aké | scored | his first goal
Aké | scored | his goal for Bournemouth
Aké | goal in | 93rd minute minutes
Aké | winning goal in | 93rd minute minutes
Aké | winning goal in | minute minutes
Bournemouth | overturned | 3 1 deficit with 15 minutes
winning goal | is in | 93rd minute minutes
Aké | goal in | minute minutes
Bournemouth | overturned | 3 1 deficit
3 1 deficit | is with | 15 minutes
Bournemouth | overturned | 3 1 deficit with 15 minutes go
Bournemouth | overturned | 3 1 deficit go
recall | is in | 4
Aké | making | his appearance for club
Aké | was | recalled
Aké | making | his first appearance for club
Aké | making | his appearance
Aké | was recalled by | Chelsea
Aké | making | his first appearance
Aké | was | recalled by Chelsea on 8 January 2017
Aké | was recalled on | 8 January 2017
0 | win in | fifth round of same competition
He | was | also selected
He | was also selected | start
0 | win in | fifth round of same competition on 18 February
0 | win in | round of same competition
0 | win in | round
0 | win in | fifth round of competition on 18 February
0 | win in | fifth round
He | was | selected
0 | win in | fifth round of competition
0 | win in | round of same competition on 18 February
He | was selected | start
0 | win over | Wolverhampton Wanderers
0 | win in | round of competition
0 | win in | round of competition on 18 February
Aké | started alongside | David Luiz in defence in Chelsea 's 4 2 FA Cup victory over rivals
central defence | is in | Chelsea 's 4 2 FA Cup semi-final victory over rivals
David Luiz | is in | central defence
Aké | started alongside | David Luiz in central defence in Chelsea 's 4 2 FA Cup semi-final victory
Aké | started alongside | David Luiz in defence in Chelsea 's 4 2 FA Cup semi-final victory
Aké | started alongside | David Luiz in defence in Chelsea 's 4 2 FA Cup semi-final victory over rivals
Chelsea | in | 4 2 FA Cup semi-final victory over rivals
Aké | started alongside | David Luiz in central defence in Chelsea 's 4 2 FA Cup semi-final victory over rivals
Aké | started On | 22 April
Aké | started alongside | David Luiz in central defence in Chelsea 's 4 2 FA Cup victory
Aké | started alongside | David Luiz in defence
Aké | started alongside | David Luiz in central defence in Chelsea 's 4 2 FA Cup victory over rivals
Aké | started alongside | David Luiz in defence in Chelsea 's 4 2 FA Cup victory
Aké | started alongside | David Luiz in central defence
Aké | started alongside | David Luiz
Aké | contract on | basis for club record of # 20 million transfer fee
Aké | signed | contract on basis for club record of # 20 million transfer fee
Aké | signed | contract with Premier League club AFC Bournemouth on basis for club record of # 20 million transfer fee
Aké | contract on | basis
Aké | signed | contract
Aké | signed contract with | player
player | officially re-joining club | following day
Aké | signed | contract on basis
Aké | contract on | permanent basis for club record of # 20 million transfer fee
Aké | signed | contract with Premier League club AFC Bournemouth on permanent basis for club record of # 20 million transfer fee
player | re-joining club | day
Aké | signed | contract with Premier League club AFC Bournemouth
Aké | signed | contract on permanent basis for club record
Aké | contract on | permanent basis for club record
contract | is with | Premier League club AFC Bournemouth
Aké | contract on | permanent basis
player | officially re-joining | club
player | officially re-joining club | day
Aké | signed contract On | 30 June 2017
Aké | signed | contract with Premier League club AFC Bournemouth on basis
Aké | contract with | Premier League club AFC Bournemouth
Aké | signed | contract with Premier League club AFC Bournemouth on permanent basis for club record
Aké | contract on | basis for club record
Aké | signed | contract on permanent basis for club record of # 20 million transfer fee
Aké | signed | contract on basis for club record
Aké | signed | contract with Premier League club AFC Bournemouth on basis for club record
Aké | signed | contract with Premier League club AFC Bournemouth on permanent basis
Aké | signed | contract on permanent basis
player | re-joining | club
player | re-joining club | following day
it | was reported On | 21 July
it | was | reported
Aké | making | 54 appearances in total
his under-15 debut | is in | 2009
Aké | has represented Netherlands at | youth level
54 appearances | is in | total
Aké | making | 54 appearances
He | has captained | U17
Aké | was | eligible
Aké | represent Ivory Coast through | his father
Aké | represent | Ivory Coast
Aké | was | also eligible
Aké | made | his international debut
Aké | made | his senior debut
Aké | made | his debut
Aké | made | his senior international debut
Aké | has | has praised for his versatility
Aké | has | has praised
His calmness | led | appearance
His calmness | have led to | comparisons
His calmness | have led with | his versatility compared
His calmness | have led to | comparisons to former Dutch legend
His calmness | have led to | comparisons to former legend
His calmness | have led with | his versatility
His calmness | have led with | his versatility compared to David Luiz
Aké | has | father
Aké 's father | is from | Ivory Coast
He | is | teetotal
Surman | is | professional
He | spent | first five years of his career with Southampton
He | spent | five years
He | spent | first five years
his career | is with | Southampton
He | spent | first five years of his career
He | spent | five years of his career with Southampton
He | spent | five years of his career
He | played for | Wolverhampton Wanderers
He | also played for | Wolverhampton Wanderers
He | had | spell
He | had spell at | Walsall
He | had | spell on loan
his parents | had moved to | to Britain
Surman | was born in | South Africa
Surman | was | born
his father | worked for | insurance company
His parents | returned to | city
His parents | returned to | city of Southampton
His parents | returned in | 1995
he | was spotted by | Southampton club scouts
he | was | where spotted by Southampton club scouts
he | was | where spotted
he | was | spotted
St. Mary | has | College
He | captained | football team
He | attended | St. Mary 's College
Theo Walcott | took | his record
Surman | was | youngest player
Surman | was | youngest player ever
Surman | play for | Saints Reserves
Surman | was | player ever
Surman | was | player
He | scored on | when loan
he | performed well on | their pre-season tour of Scotland
he | performed well on | their tour
he | performed on | their tour
he | performed on | their pre-season tour of Scotland
He | scored on | loan during 2004 05 season
he | rejoined Saints at | beginning of 2005 06 season
he | rejoined | Saints
he | performed on | their pre-season tour
he | rejoined Saints at | beginning
He | scored on | when loan during 2004 05 season
he | performed well on | their tour of Scotland
He | scored on | loan
he | performed on | their tour of Scotland
he | performed well on | their pre-season tour
He | enjoyed | loan spell with AFC Bournemouth
He | scoring | six goals
He | enjoyed loan spell between | August 2005
He | playing in | league match for team
He | enjoyed | loan spell
successful loan spell | is with | AFC Bournemouth
He | enjoyed | successful loan spell
He | enjoyed | successful loan spell with AFC Bournemouth
He | having | played in season for Bournemouth
He | having | played earlier in season for Bournemouth
He | having | played in season
He | having | played earlier in season
He | having | played
He | having | played earlier in season for Bournemouth against Tamworth
He | having | played in season for Bournemouth against Tamworth
Southampton | in | FA Cup tie against Milton Keynes
Surman next league match | scored his Southampton goal in | 2 1 defeat
Surman next league match | scored | his first Southampton goal
Surman | made | his full team debut
Surman league match | scored | his Southampton goal
Surman league match | scored his first Southampton goal in | 2 1 defeat
Surman league match | scored his Southampton goal in | 2 1 defeat Plymouth Argyle
Surman league match | scored | his first Southampton goal
Surman | made | his team debut
Surman | made | his full team debut for Southampton
Surman next league match | scored his first Southampton goal in | 2 1 defeat Plymouth Argyle
Surman league match | scored his first Southampton goal in | 2 1 defeat Plymouth Argyle
Surman | made | his team debut for Southampton
Surman next league match | scored his Southampton goal in | 2 1 defeat Plymouth Argyle
Surman next league match | scored | his Southampton goal
Surman next league match | scored his first Southampton goal in | 2 1 defeat
Surman league match | scored his Southampton goal in | 2 1 defeat
he | scored | hat-trick
he | scored hat-trick On | 17 February 2007
He | part of | Southampton team
He | part of | Southampton first team
He | became | part of Southampton team
He | became | vital part of Southampton team
He | became | part of Southampton first team
He | became | vital part
He | became | part
He | vital part of | Southampton team
He | vital part of | Southampton first team
He | became | vital part of Southampton first team
year | has | option
promoted Premier League side Wolverhampton Wanderers | is in | three-year deal
club | has | plight
Surman | expressed | his sadness
Surman | Following | his move to Wolves
Surman | Following | his move
his debut | coming on | on Greg Halford
Surman | made | his debut
his first Premier League | start on | 21 November 2009
his first Premier League | start on | 21 November 2009 against Chelsea
nine appearances | is in | total for club
his Premier League | start on | 21 November 2009 against Chelsea
his Premier League | start on | 21 November 2009
Surman | signed for | promoted Championship side Norwich City
Surman | signed in | deal for fee
Surman | signed in | three-year deal
Surman | signed for | newly promoted Championship side Norwich City
Surman | signed in | deal for undisclosed fee
Surman | signed in | three-year deal for undisclosed fee
Surman | signed in | deal
Surman | signed for | Championship side Norwich City
Surman | signed on | 22 June 2010
Surman | signed in | three-year deal for fee
He | made | his debut
knee injury | is in | training
He | returned to | action against Leeds United
He | returned to | action
He | returned in | 1 draw
He | returned on | 20 November
He | was | subbed
He | was subbed on | 60 minutes
He | suffered | re-occurrence of injury in 4
injury | is in | 4
He | suffered | re-occurrence of injury
He | suffered | re-occurrence
Surman | played | 65 minutes
Surman | improve | his fitness
He | made | three appearances
three appearances | playing | 90 minutes
his first start | is in | 2
He | making | his start
He | making | his start in 2
three appearances | playing | full 90 minutes
He | making | his first start
He | making | his first start in 2
He | made | three appearances off bench
He | scored | his first goal for Norwich
He | scored | his goal
He | scored | his goal for Norwich
He | scored | his first goal
1 | win over | Nottingham Forest
1 | win on | 21 April 2011
1 | win over | Ipswich
1 | win at | Portman Road
Norwich City | was promoted At | end of season
Norwich City | was promoted At | end
Norwich City | was | At end of season promoted to Premier League after six-year absent
Norwich City | was promoted after | absent
Norwich City | was | At end of season promoted to Premier League after absent
Norwich City | was | At end promoted to Premier League after absent
Norwich City | was promoted to | Premier League
Norwich City | was | At end promoted after six-year absent
Norwich City | was | promoted to Premier League after absent
Norwich City | was promoted after | six-year absent
Norwich City | was | At end of season promoted after absent
Norwich City | was | At end of season promoted to Premier League
Norwich City | was | promoted to Premier League after six-year absent
Norwich City | was | At end promoted after absent
Norwich City | was | At end promoted to Premier League after six-year absent
Norwich City | was | At end promoted to Premier League
Norwich City | was | promoted
Norwich City | was | At end of season promoted after six-year absent
Surman | played with | manager Paul Lambert choosing
Surman | returning to | starting line-up
Surman | returning at | end
Surman | played with | manager Paul Lambert
Surman | played in | three
Surman | played out of | opening four Premier League fixtures
Surman | played out of | four Premier League fixtures
Surman | returning to | line-up
Surman | returning at | end of November
Surman | losing | his place
he | scored | opening
he | scored opening On | 20 December 2011
header | is in | 2 2 draw
goal | is with | header in 2 2 draw
left-footed shot | is in | 2
right-footed shot | is in | 2
he | scored | opening goal against Bolton Wanderers
he | scored | opening goal
he | scored opening goal On | 4 February
more appearances | is in | Premier League
he | scored | only goal
he | scored goal in | 6 1 defeat
he | scored goal in | 6 1 defeat by Manchester City
he | scored goal in | match
he | scored goal On | 14 April 2012
he | scored goal in | match for Norwich
he | scored | goal
Surman | said After | match
Norwich | survived in | Premier League
It | has | honour
It | 's honour for | me
I | 've enjoyed | my time
I | 've really enjoyed | my time here
It | has | has amazing
I | 've enjoyed | my time here
I | 've really enjoyed | my time
Everyone | keeps | talking at club
Everyone | winning | two promotions
Everyone | keeps | talking
two promotions | staying in | Premier League
Everyone | talking at | club
New Year | suffering | knee injury in training
Surman | was ruled until | New Year
Surman | was ruled out of | first team action
Surman | was ruled out of | team action from October
New Year | suffering | knee injury
Surman | was | ruled
Surman | was ruled out of | first team action from October
knee injury | is in | training
Surman | starting | new season
new season | is in | team
Surman | starting | season in team
Surman | starting | season
Surman | was ruled out of | team action
Surman | starting | new season in team
Bournemouth | completed | signing of Surman
Bournemouth | completed | signing on one-year loan deal
Bournemouth | completed | signing of Surman on loan deal
Bournemouth | signing on | loan deal
Bournemouth | signing of | Surman
Bournemouth | completed | signing
Bournemouth | completed | signing of Surman on one-year loan deal
Bournemouth | completed | signing on loan deal
Bournemouth | completed signing On | 31 July 2013
Bournemouth | signing on | one-year loan deal
Bournemouth 's first team | is in | 2013 14 season
Surman | played | role
Surman | played role in | Bournemouth 's team
Bournemouth | in | first team in 2013 14 season
Surman | played role in | Bournemouth 's first team in 2013 14 season
Surman | played role in | Bournemouth 's team in 2013 14 season
Surman | played | vital role
Surman | making | 35 appearances for club
Surman | making | 35 appearances
Surman | played role in | Bournemouth 's first team
he | completed move On | 1 September 2014
he | completed | permanent move
he | completed | move to club
he | completed | permanent move to club
he | completed | move
Surman | was part On | 2 May 2015
Surman | was | part
second | being for | push
latter | had elbowed | Tyrone Mings
second | being for | push on Zlatan Ibrahimović
he | scored | his first Premier League goal
he | scored | his Premier League goal
he | scored | his first Premier League goal for Bournemouth
he | scored | his Premier League goal for Bournemouth
he | was | selected for England under-21 national team for Championship qualifiers on 7 September
he | was selected for | England under-21 team for European Championship qualifiers away
he | was | selected for England under-21 team for European Championship qualifiers on 7 September on 11 September
he | was | selected for England under-21 national team on 11 September
he | was | selected for England under-21 national team on 7 September
he | was | selected for England under-21 team for European Championship qualifiers on 11 September
he | was selected on | 11 September
he | was | selected for England under-21 team on 11 September
he | was | selected for England under-21 team for European Championship qualifiers away on 7 September
he | was | selected for England under-21 team for European Championship qualifiers away to Montenegro on 11 September
he | was selected for | England under-21 national team for Championship qualifiers away to Montenegro
he | was | selected for England under-21 team on 7 September on 11 September
he | was selected for | England under-21 team for European Championship qualifiers
he | was | selected for England under-21 national team for European Championship qualifiers away on 7 September
he | was | selected for England under-21 team for Championship qualifiers away to Montenegro on 7 September
he | was selected for | England under-21 team
he | was | selected for England under-21 team for European Championship qualifiers away on 11 September
he | was | selected
he | was | selected for England under-21 national team on 7 September on 11 September
he | was selected for | England under-21 team for European Championship qualifiers away to Montenegro
he | was selected for | England under-21 team for Championship qualifiers
he | was | selected for England under-21 national team for European Championship qualifiers away to Montenegro on 7 September
he | was selected for | England under-21 team for Championship qualifiers away
he | was | selected for England under-21 national team for Championship qualifiers away on 11 September
he | was | selected for England under-21 team for Championship qualifiers on 7 September on 11 September
he | was | selected for England under-21 team for European Championship qualifiers away on 7 September on 11 September
he | was | selected for England under-21 team for European Championship qualifiers away to Montenegro on 7 September
he | was | selected for England under-21 team for Championship qualifiers away on 7 September
he | was | selected for England under-21 team for European Championship qualifiers away to Montenegro on 7 September on 11 September
he | was selected for | England under-21 team for Championship qualifiers away to Montenegro
he | was | selected for England under-21 national team for European Championship qualifiers away on 7 September on 11 September
he | was | selected for England under-21 national team for Championship qualifiers on 7 September on 11 September
he | was | selected for England under-21 team for Championship qualifiers on 11 September
he | was | selected for England under-21 team for Championship qualifiers away on 7 September on 11 September
he | qualified | play for South Africa
he | was | selected for England under-21 national team for European Championship qualifiers on 7 September
he | was | selected for England under-21 team on 7 September
he | was | selected for England under-21 national team for Championship qualifiers away on 7 September on 11 September
he | was | selected for England under-21 team for Championship qualifiers away to Montenegro on 7 September on 11 September
he | was | selected for England under-21 national team for Championship qualifiers on 11 September
he | was | selected on 7 September on 11 September
he | was selected for | England under-21 national team for European Championship qualifiers away
he | was | selected for England under-21 national team for European Championship qualifiers on 7 September on 11 September
he | was | selected for England under-21 team for Championship qualifiers away on 11 September
he | was selected for | England under-21 national team for Championship qualifiers away
he | was | selected for England under-21 national team for Championship qualifiers away on 7 September
he | was | selected for England under-21 national team for European Championship qualifiers away on 11 September
he | was selected on | 7 September
he | was | selected for England under-21 team for Championship qualifiers on 7 September
he | qualified | play
he | was | selected for England under-21 national team for Championship qualifiers away to Montenegro on 11 September
he | was | selected for England under-21 national team for European Championship qualifiers on 11 September
he | was | selected for England under-21 national team for European Championship qualifiers away to Montenegro on 11 September
he | was selected for | England under-21 national team for European Championship qualifiers away to Montenegro
he | was selected for | England under-21 national team for Championship qualifiers
he | was | selected for England under-21 national team for Championship qualifiers away to Montenegro on 7 September
he | was | selected for England under-21 team for European Championship qualifiers on 7 September
he | was | selected for England under-21 national team for European Championship qualifiers away to Montenegro on 7 September on 11 September
he | was selected for | England under-21 national team for European Championship qualifiers
he | was | selected for England under-21 national team for Championship qualifiers away to Montenegro on 7 September on 11 September
he | was | selected for England under-21 team for Championship qualifiers away to Montenegro on 11 September
he | was selected for | England under-21 national team
he | scored goal in | 3 0 victory
he | came on | on second-half substitute
he | came In | match against Montenegro
he | came on | on substitute
he | came In | match
he | scored | final goal
he | scored | goal
Surman | said In | September 2012
it | was | great
it | be lot with | African Nations Cup
it | be lot with | especially Nations Cup
it | travelling around | world
it | be lot with | especially African Nations Cup
it | be | lot
it | be lot with | Nations Cup
he | told | Daily Echo
he | told Daily Echo In | July 2017
past years | been | have important
past years | been | have important for me
past years | been | have hugely important for me
past years | been | have hugely important
I | play | football things
I | play | international football things
I | was | really honoured
I | was | honoured
I | seriously considered | it
I | really considered | it
I | considered | it
I | really seriously considered | it
young family | is | big commitment
young family | commitment | international football
family | is | big commitment
family | is | big
family | commitment | international football
family | big commitment | football
young family | is | commitment
family | big commitment | international football
young family | big commitment | international football
young family | big commitment | football
young family | commitment | football
family | commitment | football
family | is | commitment
Surman 's wife | gave birth In | April 2015
Surman 's wife | gave birth to | couple 's child
couple | to | third child
Surman | has | wife
Surman 's wife | gave | birth
Surman 's wife | gave birth to | couple 's third child
Solís | is | Colombian
Lerma | has | has used as defensive midfielder
Lerma | has | has also used as defensive midfielder
Lerma | has | has also used
Lerma | has | has used as midfielder
Lerma | has | has also used as midfielder
Lerma | has | has used
Lerma | graduated with | Atlético Huila 's youth setup
Atlético Huila | with | youth setup
he | being promoted to | main squad
he | made | his professional debut
main squad | is in | January 2013
he | being promoted to | squad
he | made | his debut
he | being promoted to | main squad in January 2013
he | being promoted to | squad in January 2013
he | being | promoted
Lerma | appeared in | 20 matches during his first professional season
Lerma | appeared in | 20 matches during his season
Lerma | appeared in | 20 matches
his side | finished | 13th
Lerma | appeared in | 20 matches during his first season
Lerma | appeared in | 20 matches during his professional season
He | scored | his first professional goals
first | was | club 's 1,000 th
He | scored | his first goals
He | scored | his goals
He | scored | his professional goals
Lerma | moved for | time in his career
Lerma | moved abroad for | time in his career
Lerma | moved abroad | agreeing to loan contract
Lerma | moved abroad On | 13 August 2015
Lerma | moved | agreeing to loan contract with Spanish La Liga club Levante
Lerma | moved On | 13 August 2015
Lerma | agreeing to | one-year loan contract with Spanish La Liga club Levante
Lerma | agreeing to | loan contract
Lerma | agreeing to | loan contract with La Liga club Levante
Lerma | moved for | time
Lerma | moved abroad for | time
Lerma | moved | agreeing to one-year loan contract with La Liga club Levante
Lerma | moved | agreeing
Lerma | moved abroad | agreeing
first time | is in | his career
Lerma | moved abroad | agreeing to loan contract with La Liga club Levante
Lerma | moved for | first time
Lerma | moved | agreeing to one-year loan contract
Lerma | agreeing to | one-year loan contract
Lerma | moved abroad | agreeing to one-year loan contract with Spanish La Liga club Levante
Lerma | moved abroad | agreeing to one-year loan contract
Lerma | moved | agreeing to loan contract with La Liga club Levante
Lerma | moved abroad | agreeing to one-year loan contract with La Liga club Levante
Lerma | moved | agreeing to loan contract
Lerma | moved abroad for | first time in his career
Lerma | agreeing to | one-year loan contract with La Liga club Levante
